DEPARTAMENTO	COBERTURA_NETA_MEDIA	DESERCION_MEDIA
Otros	59.7	2.95
Otros	36.3	8.49
Otros	35.3	2.99
Otros	48.5	8.04
Otros	38.9	3.21
Otros	27.3	9.74
Otros	32.2	1.68
Otros	26.4	2.44
Otros	20.3	8.64
Otros	18.1	3.81
Otros	31.7	4.37
Otros	21.7	4.63
Otros	24.7	5.87
Otros	26.7	2.29
Otros	23.9	1.05
Otros	29.8	2.11
Otros	42.2	3.56
Otros	41	4.09
Otros	45.2	2.45
Otros	21.7	1.05
Otros	32.5	3.87
Otros	12.3	2.63
Otros	20.6	1.74
Otros	14.1	2.48
Otros	53.5	2.18
Otros	15.5	1.87
Otros	30.5	5.6
Otros	44.6	2.99
Otros	22.5	2.93
Otros	49.8	1.36
Otros	29.3	6.61
Otros	29	2.93
Otros	48.3	2.07
Otros	35.3	1.98
Otros	44.8	5.97
Otros	18.4	2
Otros	55.9	3.27
Otros	17.8	1.24
Otros	31.8	6.12
Otros	24.1	8.97
Otros	47.7	1.93
Otros	54.4	5.35
Otros	40.2	2.48
Otros	41.5	8.35
Otros	48.4	2.61
Otros	49.6	2.45
Otros	32.4	0.71
Otros	33.5	9.01
Otros	30.1	10.85
Otros	39.3	3.24
Otros	87	2.07
Otros	30.6	1.18
Otros	35.9	3.7
Otros	47.3	1.83
Otros	20.3	8.33
Otros	42.5	1.83
Otros	54.4	4.26
Otros	47.2	1.48
Otros	52.8	2.29
Otros	51.7	2.25
Otros	33.9	1.66
Otros	43.7	9.47
Otros	55.3	3.54
Otros	36.2	5.45
Otros	16.7	2.23
Otros	11.1	4.65
Otros	21.9	7.82
Otros	19.4	4.05
Otros	41.9	2.13
Otros	56.5	1.94
Otros	12.7	12.9
Otros	26.4	1.14
Otros	38.3	2.75
Otros	29.1	8.14
Otros	28.7	1.21
Otros	26.8	1.6
Otros	59.4	1.04
Otros	62	3.41
Otros	71.8	4.24
Otros	18.2	2.71
Otros	31.9	1.01
Otros	31.9	3.78
Otros	42.9	0.29
Otros	20.4	4.35
Otros	39.5	3.38
Otros	53.4	7.12
Otros	28.2	9.75
Otros	37.6	2.73
Otros	37.7	2.93
Otros	56.6	5.87
Otros	44.9	3.51
Otros	43.5	0.97
Otros	44.3	2.33
Otros	59.6	1.55
Otros	23.5	0.81
Otros	35.2	7.51
Otros	49.1	1.79
Otros	37.2	1.3
Otros	14.6	4.02
Otros	24	0.7
Otros	24.1	1.38
Otros	16.7	3.73
Otros	20.5	1.48
Otros	8.6	2.63
Otros	37.8	1.32
Otros	37.3	6.02
Otros	43.4	3.96
Otros	16.6	5.05
Otros	31.2	5.3
Otros	28.7	3.11
Otros	20.2	1.98
Otros	61.5	2.58
Otros	50.8	0.59
Otros	38.6	2.18
Otros	27.2	4.58
Otros	36.5	1.16
Otros	40.9	3.19
Otros	40.6	4.03
Otros	36.2	6.92
Otros	59.7	10.28
Otros	53.4	1.07
Otros	35.7	1.99
Otros	25.7	3.98
Otros	35.7	1.83
Otros	51.8	0.85
Otros	44.1	1.98
Otros	20.5	3.43
Otros	37.1	4.5
Otros	34.6	2.06
Otros	33.1	5.19
Otros	45.9	1.21
Otros	55	2.55
Otros	51.3	2.3
Otros	27.2	5.17
Otros	15.8	2.55
Otros	12.5	11.46
Otros	34.7	1.1
Otros	25.7	4.67
Otros	25.5	0.46
Otros	37.9	0.12
Otros	13.9	0.89
Otros	30.5	2.93
Otros	30.8	1.19
Otros	39.6	2.13
Otros	30.7	3.84
Otros	33.8	5.26
Otros	22.6	7.69
Otros	15.1	1.95
Otros	33.8	11.37
Otros	41	0.55
Otros	28.6	1.33
Otros	26.6	1.39
Otros	4.2	2.63
Otros	35.6	6.08
Otros	14.3	3.07
Otros	22.3	2.63
Otros	11	3.91
Otros	35.5	1.6
Otros	44.9	2.48
Otros	15.2	1.99
Otros	41.6	2.44
Otros	20.5	0.38
Otros	41.9	0.32
Otros	31.6	0.24
Otros	18.4	1.29
Otros	41.1	1.93
Otros	17.7	4.3
Otros	21.5	1.66
Otros	44.7	0.4
Otros	43.5	2.53
Otros	16.9	0.57
Otros	44	3.85
Otros	38	0.52
Otros	35.6	1.46
Otros	42.7	12.3
Otros	54.4	2.73
Otros	52.1	1.45
Otros	42	7.74
Otros	33.3	6.67
Otros	65.7	3.13
Otros	34.1	8
Otros	43.3	0.45
Otros	33.3	8.25
Otros	45.1	1.37
Otros	29.6	2.26
Otros	44.1	0.98
Otros	21.8	1.47
Otros	53.6	0.82
Otros	37.2	8.54
Otros	56.2	2.41
Otros	45.5	5.81
Otros	35.1	10.66
Otros	45.1	4
Otros	49.7	3.28
Otros	38.8	1.78
Otros	27.1	2.9
Otros	19.5	1.83
Otros	40.9	2.46
Otros	48.1	3.03
Otros	39.9	1.27
Otros	64.2	2.96
Otros	49	0.64
Otros	31	1.3
Otros	54.3	1.76
Otros	35.2	1.94
Otros	63.2	1.85
Otros	34.2	3.77
Otros	59.7	3.89
Otros	79.9	3.55
Otros	43.4	0.94
Otros	22.9	1.74
Otros	28.6	2.86
Otros	50	3.54
Otros	21.4	2.82
Otros	52	3.08
Otros	46.7	3.3
Otros	46.6	2.7
Otros	41.6	3.64
Otros	23.9	6.29
Otros	45.3	4.11
Otros	47.9	4.08
Otros	55.8	3.47
Otros	46.8	5.28
Otros	43	5.95
Otros	35.4	2.61
Otros	53	3.6
Otros	40.4	4.79
Otros	32.5	6.67
Otros	26.5	8.04
Otros	58.2	4.32
Otros	42.7	3.39
Otros	27.2	2.44
Otros	36.3	3.19
Otros	25.9	2.94
Otros	38.9	8.75
Otros	30.8	2.07
Otros	41.3	2.2
Otros	28.2	1.59
Otros	47.4	3.37
Otros	35.9	5.32
Otros	40.1	1.75
Otros	35.8	1.67
Otros	40.7	5.74
Otros	43.3	3.87
Otros	46	5.93
Otros	49.5	6.62
Otros	27.4	10.5
Otros	35.8	5.61
Otros	39.8	6.03
Otros	44.9	6.1
Otros	42.7	5.26
Otros	74.9	3.3
Otros	20.8	6.03
Otros	72.2	4.22
Otros	67.1	3.78
Otros	72.4	2.72
Otros	38.1	1.3
Otros	42.9	4.35
Otros	60	1.55
Otros	39.9	3.79
Otros	50.7	2.97
Otros	49.1	0.62
Otros	54.1	1.77
Otros	39.7	2.28
Otros	47.9	3.23
Otros	45	1.22
Otros	49.3	0.63
Otros	33.5	9.64
Otros	46.7	1.05
Otros	31.6	4.24
Otros	44.3	2.04
Otros	82.2	2.29
Otros	52.7	5.37
Otros	77.3	1.04
Otros	45.5	2.43
Otros	55.9	2.07
Otros	33.1	8.05
Otros	66.3	3.95
Otros	56.1	1.84
Otros	45.3	5.05
Otros	49.9	1.79
Otros	48.9	2.36
Otros	34	4.91
Otros	45.8	4.57
Otros	34.9	3.6
Otros	37.5	6.49
Otros	58.1	2.37
Otros	27.1	8.41
Otros	42.5	6.33
Otros	38.4	2.23
Otros	34.6	4.62
Otros	26.1	3.27
Otros	24.3	1.37
Otros	52.6	0.95
Otros	40.7	1.56
Otros	30.6	1.98
Otros	36.3	0.73
Otros	33.3	5
Otros	39.1	1.84
Otros	23.2	3.59
Otros	29.9	0.78
Otros	43.8	5.06
Otros	35	1.8
Otros	50.7	2.53
Otros	54	1.74
Violencia	37.5	3.53
Violencia	21.7	3.67
Violencia	32.7	3.75
Violencia	11.6	5.7
Violencia	20.1	1.08
Violencia	37.5	2.01
Violencia	19.5	1.82
Violencia	12.2	3.36
Violencia	16.3	1.05
Violencia	20.2	3.64
Violencia	22.5	2.67
Violencia	34.1	1.95
Violencia	17.2	4.32
Violencia	4.9	3.51
Violencia	18.1	10.26
Violencia	20.3	1.68
Violencia	50.4	4.47
Violencia	23.9	5.31
Violencia	12.1	4.25
Violencia	16.8	0.53
Violencia	25.8	3.64
Violencia	26.8	1.32
Violencia	22	4.62
Violencia	24.1	0.6
Violencia	53.8	2.62
Violencia	27.9	4.17
Violencia	28.4	4.58
Violencia	27.6	4.48
Violencia	22.4	3.69
Violencia	16	3.1
Violencia	29.6	5
Violencia	11.9	3.59
Violencia	7.6	6.6
Violencia	19.7	3.58
Violencia	28.3	0.4
Violencia	21.3	1.84
Violencia	44.7	1.92
Violencia	15.4	5.63
Violencia	25.3	5.13
Violencia	38.5	2.96
Violencia	40.4	0.79
Violencia	24.3	0.93
Violencia	22.7	6.06
Violencia	15.8	5.92
Violencia	41.8	2.29
Violencia	26.8	0.37
Violencia	19.6	4.33
Violencia	25.1	0.99
Violencia	26.4	1
Violencia	55	1.26
Violencia	13	1.18
Violencia	22.3	5.29
Violencia	18.4	0.7
Violencia	38	1.85
Otros	40.4	2.79
Otros	39.8	10.16
Otros	32.7	8.43
Otros	23.8	1.21
Otros	22.9	6.13
Otros	30.9	8.88
Otros	37.4	8.15
Otros	37.2	6.04
Otros	25.9	9.73
Otros	31.4	4.1
Otros	24.6	5.82
Otros	14.2	1.08
Otros	28.3	3.41
Otros	36	3.96
Otros	27.5	3.31
Otros	32.3	3.61
Otros	33.7	3.15
Otros	11.8	8.12
Otros	31.9	9.5
Otros	31.9	12.05
Otros	30.9	5.18
Otros	35.2	2.27
Otros	23.6	5.74
Otros	39.2	4.5
Otros	43.9	4.96
Otros	23.1	6
Otros	27.5	3.39
Otros	22.6	6.52
Otros	48.7	5.18
Otros	45	1.45
Otros	35.8	4.77
Otros	35.8	13.47
Otros	25.3	2.52
Otros	49.1	1.76
Otros	19.4	4.79
Otros	51.3	1.47
Otros	30.7	1.65
Otros	32.2	5.61
Otros	43.8	4.27
Otros	23.2	3.46
Otros	22.4	5.13
Otros	15.5	4.1
Otros	45.2	10.83
Otros	47.1	1.85
Otros	17.6	5.29
Otros	41.8	4.16
Otros	29.8	3.51
Otros	26	1.63
Otros	45.2	5.62
Otros	23.1	3.08
Otros	34.3	8.97
Otros	45.1	0.39
Otros	44.1	8.28
Otros	35.2	2.46
Otros	60.6	1.85
Otros	47.6	2.1
Otros	55.7	2.82
Otros	29.4	4.88
Otros	30.3	7.03
Otros	58.6	7.17
Otros	27.2	1.06
Otros	56.8	3.64
Otros	35.4	2.21
Otros	57.7	4.3
Otros	53.9	6.07
Otros	57.5	1.88
Otros	37.4	1.38
Otros	37.3	3.4
Otros	47.6	11.65
Otros	50.8	2.56
Otros	31	7.69
Otros	46.7	2.38
Otros	50.7	1.43
Otros	49.4	4.09
Otros	30	1.34
Otros	70.9	1.95
Otros	61.6	2.64
Otros	27.1	0.88
Otros	34.4	2.2
Otros	49.2	0.63
Otros	52.5	3.84
Otros	37.3	10.45
Otros	43.5	3.24
Otros	35.1	4.3
Otros	58.8	1.69
Otros	35.6	6.15
Otros	45.1	0.82
Otros	46.2	1.53
Otros	35.8	1.04
Otros	68.3	5.93
Otros	47.5	6.87
Otros	36	0.44
Otros	34.9	3.33
Otros	56.5	2.64
Otros	52.8	0.55
Otros	45.4	5.32
Otros	42.3	2.52
Otros	18.4	6.06
Otros	58	6.91
Otros	49.9	1.52
Otros	10.5	8.06
Otros	22.1	2.22
Otros	60.1	2.55
Otros	43.5	1.5
Otros	34.2	1.82
Otros	31.3	6.54
Otros	57.5	5.88
Otros	34.9	3.96
Otros	25.2	11.48
Otros	50	6
Otros	77.8	0.4
Otros	37.6	7.08
Otros	34.7	3.8
Otros	31.8	8.7
Otros	47	1.48
Otros	40.9	4.42
Otros	33.2	4.07
Otros	41.4	3.57
Otros	40	0.36
Otros	55.8	0.96
Otros	48.6	4.68
Otros	42.4	3.58
Otros	39.1	1.52
Otros	42.5	1.25
Otros	45.1	5.28
Otros	47.9	4.6
Otros	59.4	3.5
Otros	37.7	6.17
Otros	48.4	2
Otros	20.4	11.8
Otros	40.7	0.76
Otros	39.5	0.67
Otros	41.4	3.24
Otros	37.5	3.59
Otros	68	3.86
Otros	51.4	2.42
Otros	40.4	3.51
Otros	45.8	1.77
Otros	32.1	4.35
Otros	31.7	0.71
Otros	55	1.35
Otros	42	0.52
Otros	26.2	2.92
Otros	28.5	1.19
Otros	38.6	1.72
Otros	63.7	2.58
Otros	47.1	6.23
Otros	51.1	1.33
Otros	16.6	10.73
Otros	31.8	4.95
Otros	51.9	3.23
Violencia	40	4.42
Violencia	20.4	1.32
Violencia	32.4	1.19
Violencia	30.8	2.03
Violencia	5.3	0.86
Violencia	7	0.95
Violencia	31.8	0.41
Violencia	13.6	6.1
Violencia	37.3	1.08
Violencia	12	1.53
Violencia	4.1	4.76
Violencia	13.8	0.42
Violencia	15.3	11.76
Violencia	6.4	4.55
Violencia	10.9	7.59
Violencia	16.2	1.49
Violencia	24.6	6.58
Violencia	12.2	6.95
Violencia	17.7	1.05
Otros	49.4	4.37
Otros	21.2	1.89
Otros	45.8	6.77
Otros	27.4	8.29
Otros	35.3	7.37
Otros	22.6	3.98
Otros	30.2	2.83
Otros	12.1	5.83
Otros	33.1	7.23
Otros	33.2	5.99
Otros	36.2	3.04
Otros	25.2	3.86
Otros	32.5	2.73
Otros	28.7	10.15
Otros	34.5	12.22
Otros	37.4	5.9
Otros	31.5	3.67
Otros	28.3	14.18
Otros	26.5	1.44
Otros	40.7	2.1
Otros	34.7	7.52
Otros	28.3	2.56
Otros	35.1	4.86
Otros	41.4	5.12
Otros	54.5	6.31
Otros	25.5	2.86
Otros	39	7.32
Otros	38.9	3.1
Otros	29.6	5.04
Otros	36.9	2.97
Otros	57.3	7.1
Otros	22.7	4.22
Otros	28	9.84
Otros	40.9	4.88
Otros	37.5	2.84
Otros	52	2.27
Otros	26.4	8.93
Otros	23.4	7.43
Otros	24.6	4.83
Otros	17.3	4.4
Otros	50.3	3.43
Otros	21.8	2.41
Otros	38.4	1.57
Otros	2.9	2.27
Otros	42.4	2.27
Otros	3.4	4.79
Otros	26.1	0.74
Otros	30.5	2.76
Otros	42.6	5.48
Otros	36.7	2.86
Otros	28	1.57
Otros	39.2	3.11
Otros	37.2	0.72
Otros	38.7	2.39
Otros	57.2	3.89
Otros	34.6	3.64
Otros	47.8	4.38
Otros	37.3	10.56
Otros	39.2	6.82
Otros	44.5	3.97
Otros	18.6	0.41
Otros	34.2	0.53
Otros	18.9	3.43
Otros	45.4	1.28
Otros	34.6	7.79
Otros	25.8	5.45
Otros	30.5	3.33
Otros	15.2	0.51
Otros	48.8	4.67
Otros	48.6	1.66
Otros	33.6	0.74
Otros	31.2	4.18
Otros	24.6	1.41
Otros	16.2	4.59
Otros	43.1	1.02
Otros	31.9	1.44
Otros	33.9	5.26
Otros	47.3	2.73
Otros	58.7	2.34
Otros	41.8	5.77
Otros	44.2	4.63
Otros	39.3	1.39
Otros	59.4	5.3
Otros	26.9	6.14
Otros	52.5	3.05
Otros	35.1	2.03
Otros	45.1	3.23
Otros	44.2	6.28
Otros	13.4	2.04
Otros	8.9	11.64
Otros	39.2	2.75
Otros	9.6	7.84
Otros	23.6	11.14
Otros	38	4.69
Otros	19.1	7.44
Otros	90.8	2.93
Otros	29.8	6.55
Otros	26.1	4.48
Otros	53.4	7.11
Otros	12.9	8.11
Otros	45.9	2.31
Otros	44.6	4.81
Otros	17.2	6.19
Otros	43.2	4.56
Otros	22.1	9.36
Otros	11.1	12.7
Otros	35.1	4.36
Otros	25.8	3.11
Otros	53.6	7.51
Otros	37.6	7.71
Otros	43.3	13.32
Otros	12.5	13.27
Otros	33.1	3.7
Otros	4.4	12.82
Otros	28.8	11.76
Otros	15.3	14.29
Otros	10.8	7.69
Otros	23.6	4.9
Otros	33.4	4.54
Otros	18.1	3.36
Otros	42.7	12.99
Otros	48.1	8.4
Otros	20.7	7.87
Otros	30.5	10.74
Otros	37.5	3.49
Otros	27.5	11.76
Otros	53.7	3.64
Otros	23.9	6.12
Otros	35.7	3.27
Otros	50.3	4.92
Otros	40.1	7.55
Otros	10.1	7.04
Otros	15.2	10.16
Otros	34.3	8.05
Otros	33.6	2.7
Otros	41.8	5.7
Otros	40.6	5.97
Otros	20.5	4.14
Otros	21.7	4.71
Otros	31.7	6
Otros	22.5	0.93
Otros	22.7	2.22
Otros	40.7	2.56
Otros	35.5	7.21
Otros	52.6	4.39
Otros	49.6	2.44
Otros	47.2	3.87
Otros	44	3.93
Otros	50.9	2.93
Otros	36.8	4.24
Otros	34.1	5.81
Otros	34.5	2.9
Otros	62.9	2.56
Otros	41.2	3.34
Otros	45.2	6.38
Otros	52.1	6.51
Otros	25.9	2.89
Otros	35.8	4.68
Otros	31.4	4.29
Otros	38.8	5.15
Otros	34.5	3.99
Otros	26.5	4.64
Otros	48.2	2.94
Otros	25.5	4.42
Otros	17.5	6.14
Otros	16.4	2.6
Otros	29	3.08
Otros	37.2	1.82
Otros	25.1	6.07
Otros	62	4.72
Otros	24.8	1.92
Otros	45.1	2.83
Otros	50.6	4.37
Otros	40.7	3.55
Otros	51.3	6.39
Otros	28.2	5.56
Otros	25.3	5.62
Otros	61.2	0.53
Otros	26.5	3.39
Otros	38.5	5.26
Otros	78.8	3.5
Otros	14.7	3.03
Otros	22.6	4.23
Otros	38.5	3.09
Otros	29	6.98
Otros	52.4	0.96
Otros	19.8	7.41
Otros	39.7	0.4
Otros	16.7	4.35
Otros	14.3	1.18
Otros	38.8	4.87
Otros	20.4	4.17
Otros	58.7	0.97
Otros	20	7.41
Otros	48.3	2.91
Otros	57	1.56
Otros	36.2	2.11
Otros	55.2	1.22
Otros	32	8.16
Otros	29.1	4.05
Otros	59.4	2.72
Otros	31.5	3.45
Otros	52.2	0.85
Otros	25.5	2.71
Otros	35.1	4.2
Otros	39.1	4.91
Otros	41.2	1.62
Otros	38.2	3.77
Otros	73.4	3.25
Otros	46.2	2.74
Otros	21.2	10.45
Otros	48.9	4.9
Otros	34.8	1.8
Otros	29.6	8.51
Otros	48.3	3.03
Otros	52.2	3.66
Otros	42.9	6.67
Otros	89.7	2.35
Otros	23.1	3.94
Otros	34.2	1.01
Otros	28.9	4.66
Otros	53.1	1.39
Otros	55.9	0.96
Otros	20	1.79
Otros	77.3	2.93
Otros	22.8	1.96
Otros	40	1.33
Otros	39.1	3.47
Otros	13.7	6.98
Otros	28.4	6.43
Otros	50.9	3.11
Otros	43.5	4.41
Otros	33.2	1.71
Otros	41.5	6.45
Otros	40.2	0.79
Otros	49.7	3.17
Otros	38.5	2.13
Otros	41.7	2.42
Otros	43.3	6.19
Otros	49	2.76
Otros	31.4	6.37
Otros	59.8	9.84
Otros	16	5.26
Otros	43.1	7.61
Otros	50.6	12.01
Otros	26.1	14.33
Otros	37.5	5.43
Otros	32.7	7.79
Otros	52.8	1.49
Otros	46.5	4.77
Otros	49.1	2.68
Otros	47.5	5.88
Otros	45.1	2.02
Otros	34.9	1.73
Otros	13.3	9.63
Otros	38.7	4.71
Otros	18.3	4.72
Otros	31.6	4.85
Otros	46.5	0.8
Otros	35.1	12.27
Otros	31	4.54
Otros	43.7	2.36
Otros	28.5	2.82
Otros	39.5	4.58
Otros	43.7	1.68
Otros	48.7	3.03
Otros	50.8	8.3
Otros	44.6	8.53
Otros	34.6	6.08
Otros	51.1	6.52
Otros	27.7	3.68
Otros	40.2	7.43
Otros	51.8	4.73
Otros	48.3	2.94
Otros	43.5	4.99
Otros	43.5	3.45
Otros	47.6	5.35
Otros	20.5	3.61
Otros	43.8	7.09
Otros	35	2.34
Otros	22.6	7.52
Otros	45.2	7.75
Otros	20.2	7.01
Otros	61.1	3.93
Otros	39.8	2.91
Otros	17.8	8.05
Otros	23.7	4.21
Otros	33	3.26
Otros	47.2	2.12
Otros	25.2	2.63
Otros	34.3	3.68
Otros	35.3	8.84
Otros	32.4	7.86
Otros	31.1	4.15
Otros	27	6.83
Otros	43.4	2.38
Otros	46.2	2.77
Otros	18.2	5.53
Otros	41.4	6.21
Otros	20.8	7.94
Otros	53.7	1.76
Otros	43.6	3.68
Otros	30.7	3.98
Otros	41.8	4.33
Otros	46.9	2.64
Otros	36.9	2.44
Otros	24.4	1.8
Otros	21.4	4.7
Otros	29.8	6.82
Otros	41	6.83
Otros	54.9	3.01
Otros	42.6	4.62
Otros	34	6.18
Otros	44.2	3.61
Otros	37.2	5.99
Otros	54.2	3.99
Otros	25.9	6.16
Otros	48.3	1.88
Otros	33	3.74
Otros	37.6	3.55
Otros	33.3	7.54
Otros	57.1	4.7
Otros	25.6	4.95
Otros	33.3	5.57
Otros	29.2	4.23
Otros	33.5	3.52
Otros	47.2	2.67
Otros	34.2	5.75
Otros	42.4	0.34
Otros	34	2.51
Otros	40.8	3.42
Otros	44.3	3.3
Otros	39.8	2.85
Otros	25.7	6.45
Otros	24	1.28
Otros	20.1	2.45
Otros	28.5	4.67
Otros	28.5	1.76
Otros	33.1	1.41
Otros	48	3.95
Otros	40.9	3.92
Otros	31.4	6.79
Otros	50.1	2.15
Otros	62.4	1.52
Otros	23.1	3.49
Otros	23.8	6.52
Otros	45.2	7.94
Otros	23.9	4.48
Otros	88.8	8.21
Otros	38.1	7.84
Otros	20.7	5.79
Otros	24.1	1.85
Otros	43.6	6.15
Otros	26.1	0.84
Otros	50.5	1.55
Otros	52.1	5.6
Otros	27.7	0.9
Otros	22.2	4.39
Otros	25.6	2.2
Otros	16.3	3.35
Otros	10.3	3.02
Otros	27.8	3.89
Otros	59.1	1.4
Otros	15	0.55
Otros	25.9	1.93
Otros	22.2	2.89
Otros	31.6	4.59
Otros	38.8	0.18
Otros	44.6	6.78
Otros	34.8	7.35
Otros	7.1	7.46
Otros	2.6	11.76
Otros	15	11.69
Otros	6	1.67
Otros	24.3	6.81
Violencia	14.5	4.17
Otros	31.4	1.08
Otros	20.4	4.29
Otros	15.6	3.28
Otros	5.6	3.75
Otros	58.2	3.43
Otros	35.1	2.64
Otros	40.7	10.77
Otros	49.2	1.57
Otros	36.6	2.68
Otros	24.2	6.27
Otros	34.7	4.4
Otros	21.3	3.4
Otros	23.1	1.5
Otros	31.1	2.49
Otros	23.4	6.48
Otros	23.8	3.32
Otros	23.6	2.85
Otros	30.4	2.68
Otros	29.7	8.49
Otros	28.3	10
Otros	40.4	2.94
Otros	38.4	3.66
Otros	43.1	2.87
Otros	26.5	7.41
Otros	21.3	3.35
Otros	29	2.38
Otros	12.7	6.2
Otros	26.4	0.72
Otros	15.5	0.82
Otros	51.7	2.31
Otros	16.1	1.71
Otros	31.8	2.55
Otros	35.4	3.47
Otros	23.3	11.91
Otros	47.2	1.33
Otros	48.3	9.57
Otros	27.1	2.36
Otros	28.2	9.92
Otros	59.5	1.03
Otros	36.9	7.03
Otros	47.4	0.77
Otros	20.8	7.29
Otros	54.3	3.43
Otros	15.1	4.68
Otros	37.2	5.61
Otros	34.4	3.99
Otros	25.1	8.01
Otros	54.7	3.03
Otros	52.9	2.63
Otros	40.4	1.75
Otros	42.9	10.5
Otros	54.4	2.81
Otros	42.9	2.09
Otros	35.1	2.92
Otros	22.6	1.91
Otros	37.9	2.12
Otros	87.5	1.61
Otros	32.2	3.47
Otros	29.6	11.24
Otros	45.9	2.14
Otros	25	11.99
Otros	41.2	2.25
Otros	53.6	3.54
Otros	51.9	2.2
Otros	60.1	3.01
Otros	47.3	4.55
Otros	55.3	3.13
Otros	38.2	1.41
Otros	49.4	2.23
Otros	55	1.81
Otros	40.3	1.69
Otros	15.9	6.51
Otros	12.2	2.79
Otros	19.4	5.78
Otros	45.3	0.93
Otros	62.5	1.67
Otros	30.3	6.21
Otros	39.1	4.03
Otros	29.5	0.34
Otros	26.6	0.72
Otros	28.7	9.66
Otros	61.3	1.21
Otros	58	2.55
Otros	27.1	3.26
Otros	67.6	4.84
Otros	19.3	0.51
Otros	38.7	0.98
Otros	30.4	7.27
Otros	32.9	2.92
Otros	44.7	9.6
Otros	47	1.25
Otros	22.3	3.64
