DEPARTAMENTO	COBERTURA_NETA_MEDIA	DESERCION_MEDIA
Otros	38.4	8.98
Otros	56.8	2.18
Otros	27.7	12.44
Otros	38.3	3.46
Otros	37.1	4.45
Otros	58.6	2.15
Otros	45.6	2.51
Otros	45.5	2.46
Otros	36.2	2.45
Otros	62.1	3.34
Otros	27.4	5.99
Otros	37.6	5.32
Otros	46.7	3.66
Otros	42.6	4.29
Otros	14.8	7.21
Otros	28.3	1.46
Otros	25	2.97
Otros	17.2	0.65
Otros	27.4	6.14
Otros	16.8	6.5
Otros	20.4	0.32
Otros	10.5	5.14
Otros	49.6	4.81
Otros	41.1	4.35
Otros	40	11.29
Otros	26.5	12.76
Otros	16.7	3.54
Otros	33.2	5.85
Otros	29.8	4.64
Otros	19.6	1.2
Otros	19.8	6.96
Otros	54.9	2.38
Otros	51	3.29
Otros	33.9	9.01
Otros	37.4	0.92
Otros	42.4	1.69
Otros	40.7	1.3
Otros	35.1	9.14
Otros	54.3	0.44
Otros	56.2	0.54
Otros	28.2	0.87
Otros	33.8	2.33
Otros	26.4	5.34
Otros	29.7	4.9
Otros	50.4	1.51
Otros	42.5	3.38
Otros	31.4	0.8
Otros	32.2	2.46
Otros	46.4	1.56
Otros	37.7	1.49
Otros	51.8	4.45
Otros	49.1	3.19
Otros	31	2.06
Otros	12.7	2.04
Otros	34.8	6.87
Otros	20.1	4.55
Otros	20.2	1.83
Otros	38.6	2.75
Otros	16.5	0.88
Otros	30.3	2.26
Otros	35.5	1.59
Otros	31.9	9.35
Otros	28.3	3.89
Otros	20	5.56
Otros	18.6	4.73
Otros	31.7	3.73
Otros	37.9	1.54
Otros	32	1.24
Otros	28.4	4.46
Otros	3.1	8.06
Otros	34.3	1.7
Otros	17.5	10.62
Otros	20.1	4
Otros	7.2	0.79
Otros	42.3	8.65
Otros	46.3	2.01
Otros	18.7	0.97
Otros	38.6	2.73
Otros	16.7	4.02
Otros	43.6	1.02
Otros	26.3	4.23
Otros	19.9	5.35
Otros	36.2	1.52
Otros	27.3	2.16
Otros	18.6	7.56
Otros	23.1	4.53
Otros	41.4	2.86
Otros	14.2	2.04
Otros	44.7	2.5
Otros	36.8	1.14
Otros	28.8	1.51
Otros	44.8	7.47
Otros	50.7	1.87
Otros	35.3	5.92
Otros	48	1.53
Otros	66.6	2.94
Otros	36.4	2.17
Otros	48.9	3.15
Otros	40.9	3.45
Otros	44.7	5.8
Otros	30.2	5.8
Otros	64.3	2.36
Otros	20.4	1.72
Otros	74.8	3.75
Otros	42.1	7.14
Otros	53.7	3.74
Otros	42.8	6.61
Otros	41.4	4.25
Otros	35.9	1.77
Otros	41.6	1.67
Otros	37.2	3.8
Otros	75.6	1.16
Otros	48.7	2.25
Otros	22.8	0.88
Otros	46.2	4.76
Otros	40.5	1.67
Otros	64.1	1.5
Otros	58	2.82
Otros	34.1	4.05
Otros	57.5	3.57
Otros	39.9	5.66
Otros	59.2	2.91
Otros	40	3.42
Otros	54.1	4.28
Otros	32.9	2.22
Otros	79	2.45
Otros	50	1.11
Otros	24.9	2.73
Otros	34.8	1.33
Otros	27.6	2.3
Otros	20.9	14.29
Otros	50	1.18
Otros	43.2	3.08
Otros	23.8	4.7
Otros	44.3	3.17
Otros	37.1	10.66
Otros	52.2	6.74
Otros	48.7	10.86
Otros	46	5.38
Otros	36.3	12.18
Otros	55.6	4.61
Otros	45	3.8
Otros	27.4	11.11
Otros	26.2	5.8
Otros	29.1	11.43
Otros	39.1	3.49
Otros	57.6	3.09
Otros	46.8	10
Otros	90.2	4.67
Otros	31.2	2.49
Otros	42.6	3.31
Otros	38.6	9.68
Otros	25.5	5.43
Otros	44.1	4.84
Otros	12.6	2.34
Otros	37.8	4.62
Otros	49.9	2.29
Otros	44.8	1.06
Otros	40.4	2.04
Otros	37.4	2.97
Otros	42.8	5.93
Otros	48.2	2.4
Otros	39.8	7.69
Otros	29.6	5.18
Otros	49.5	6.4
Otros	31.3	5.88
Otros	33.9	3.98
Otros	49.5	8.97
Otros	65	2.56
Otros	46.1	3.11
Otros	80.2	3.15
Otros	23.3	2.24
Otros	71.8	4.5
Otros	63.7	2.83
Otros	60.3	0.91
Otros	43.9	2.54
Otros	46.9	5.84
Otros	36	1.61
Otros	48.2	4
Otros	43.2	2.44
Otros	53.1	1.79
Otros	30.5	1.79
Otros	47.2	2.08
Otros	50.5	1.22
Otros	52.1	1.22
Otros	24.7	2.82
Otros	42.2	7.48
Otros	38.8	2.29
Otros	48.6	8.89
Otros	81.2	0.34
Otros	55.9	5.14
Otros	62.9	1.19
Otros	43.7	1.56
Otros	56.6	5.34
Otros	36.4	7.59
Otros	52.7	4.83
Otros	52.5	3.65
Otros	42.5	5.58
Otros	44.7	1.87
Otros	52.7	6.83
Otros	32.8	2.9
Otros	43.3	3.46
Otros	40	0.97
Otros	36	6.43
Otros	68.1	3.98
Otros	30.5	7.47
Otros	37.9	3.33
Otros	41.7	3.16
Otros	37.1	1.32
Otros	24	2.76
Otros	23.7	1.49
Otros	46.6	1.08
Otros	39.9	5.43
Otros	28.7	3.62
Otros	38.7	1.24
Otros	34.9	1.81
Otros	37.4	2.6
Otros	22.8	2.76
Otros	34.6	1.36
Otros	44.7	4.99
Otros	43.1	2.62
Otros	49.2	1.95
Otros	55.2	3.82
Violencia	35	4.09
Violencia	27.8	13.28
Violencia	25.4	6.14
Violencia	11.2	5.73
Violencia	18.1	5.85
Violencia	34.5	4.84
Violencia	22.4	4.94
Violencia	12.1	4.2
Violencia	13.6	3.92
Violencia	26.8	3.28
Violencia	23.2	4.2
Violencia	31.1	9.82
Violencia	17.4	6.32
Violencia	23.7	6.88
Violencia	16.5	3.08
Violencia	46.9	8.57
Violencia	18.5	6.6
Violencia	13.5	6.67
Violencia	17.5	0.28
Violencia	22.2	2.74
Violencia	23.8	5.59
Violencia	18.8	5.03
Violencia	26.6	1.49
Violencia	59.3	4.48
Violencia	31.2	4.02
Violencia	32.2	3.86
Violencia	32	4.13
Violencia	26.9	0.7
Violencia	15.4	6.98
Violencia	24.1	5.84
Violencia	21	6.52
Violencia	33.2	6.82
Violencia	12.1	6.59
Violencia	8.1	6.09
Violencia	24.7	0.72
Violencia	26.1	4.18
Violencia	22.9	2.79
Violencia	35.7	2.31
Violencia	16.5	6.31
Violencia	24.9	3.22
Violencia	14	2.8
Violencia	36.1	3.54
Violencia	40.6	10.01
Violencia	22.6	0.95
Violencia	27.1	8.54
Violencia	19.5	1.44
Violencia	42.5	2
Violencia	12.6	7.38
Violencia	28.3	4.64
Violencia	16.4	12.26
Violencia	25.1	9.83
Violencia	16.3	7.56
Violencia	36.6	6.52
Violencia	13.4	2.03
Violencia	25	6.91
Violencia	19.9	5.35
Violencia	37.6	5.81
Otros	38.4	2.78
Otros	39.8	5.33
Otros	32.6	3.13
Otros	20.5	3.13
Otros	35.4	0.8
Otros	26	5.43
Otros	29.7	4.05
Otros	39.8	1.59
Otros	39.9	0.27
Otros	27.2	4.92
Otros	36.2	2.65
Otros	25.8	0.72
Otros	14.2	3.57
Otros	25.6	2.03
Otros	38.4	4.74
Otros	32.8	2.47
Otros	31.3	3.12
Otros	32.5	3.38
Otros	14	3.53
Otros	27.9	1.66
Otros	28.2	2.09
Otros	27.6	7.97
Otros	38.9	2.9
Otros	28.9	6.84
Otros	46.6	1.89
Otros	44.6	4.69
Otros	24.3	9.18
Otros	25.1	1.57
Otros	23.9	0.45
Otros	47.3	2.61
Otros	43.8	1.48
Otros	43.8	4.1
Otros	36.7	0.97
Otros	37.9	2.32
Otros	22.2	0.96
Otros	48.9	2.23
Otros	21.6	0.98
Otros	53.3	1.42
Otros	30	2.19
Otros	32.8	7.12
Otros	45.5	3.77
Otros	20.9	2.3
Otros	25.3	2.82
Otros	13.9	2.13
Otros	50.7	3.3
Otros	18.5	3.44
Otros	43	4.19
Otros	27.4	2.2
Otros	31.3	0.54
Otros	40.6	1.82
Otros	23.5	2.98
Otros	32.5	2.83
Otros	51.3	3.13
Otros	44.4	0.65
Otros	43.9	4.02
Otros	64.6	4.5
Otros	43.8	2.02
Otros	40.5	2.86
Otros	28.7	1.89
Otros	30.4	4.02
Otros	40.3	5.04
Otros	32.4	2.87
Otros	54.7	1.29
Otros	28	3.16
Otros	55.7	3.95
Otros	32.5	1.61
Otros	60.7	3.55
Otros	50.3	1.62
Otros	68.7	0.27
Otros	41.4	1.22
Otros	39.2	3.04
Otros	45	5.76
Otros	46.7	0.94
Otros	30.2	12
Otros	38.8	0.36
Otros	51.8	6.33
Otros	54.4	4.13
Otros	28.9	3.88
Otros	67.5	2.54
Otros	52.4	0.58
Otros	57.5	4.11
Otros	31.8	6.13
Otros	21.2	7.27
Otros	52.4	5.93
Otros	36	1.18
Otros	45.8	5.31
Otros	33.7	2.31
Otros	54	6.12
Otros	44.3	3.66
Otros	48.7	0.93
Otros	55.9	6.08
Otros	25.7	1.52
Otros	22.3	2.27
Otros	36	0.53
Otros	63.9	4.08
Otros	46.6	4.23
Otros	40.8	1.61
Otros	35.1	3.7
Otros	51.1	2.72
Otros	33	2.01
Otros	54.4	1.69
Otros	39.7	2.32
Otros	44	2.44
Otros	22.6	3.13
Otros	62.8	2.58
Otros	42.9	1.12
Otros	7.9	4.17
Otros	24.7	3.61
Otros	58.6	0.78
Otros	45.2	1.19
Otros	30.1	6.09
Otros	28.8	4.03
Otros	55.1	0.55
Otros	45.1	2.16
Otros	42.2	0.79
Otros	63.6	3.02
Otros	38.2	0.46
Otros	39.6	1.6
Otros	29.1	1.46
Otros	39.3	1
Otros	40.9	4.06
Otros	43.2	2.94
Otros	48.9	4.07
Otros	38	0.79
Otros	54.9	1.1
Otros	43.2	2.68
Otros	38.5	2.53
Otros	37.4	1.66
Otros	43	1.57
Otros	46.5	2
Otros	44.1	1.98
Otros	57.4	6.29
Otros	33.5	3.05
Otros	44.1	0.79
Otros	18.2	1.61
Otros	39.6	9.77
Otros	40	1.7
Otros	44.2	2.51
Otros	40	2.7
Otros	51.7	2.69
Otros	49.1	6.35
Otros	34.3	6.8
Otros	40.5	1.62
Otros	28.6	6.6
Otros	25	6.03
Otros	51.4	1.89
Otros	57	1.08
Otros	28.2	3.73
Otros	32.5	2.56
Otros	40.7	3.57
Otros	60.4	2.27
Otros	48.4	1.79
Otros	46.7	4
Otros	22	1.23
Otros	49.3	2.5
Violencia	36.5	3.82
Violencia	1.7	5.59
Violencia	13.3	2.33
Violencia	24.1	0.89
Violencia	27	0.38
Violencia	6.2	6.98
Violencia	35.8	2.36
Violencia	15.6	7.14
Violencia	39.5	2.87
Violencia	14.1	2.1
Violencia	6	3.8
Violencia	10.7	1.77
Violencia	6.6	0.98
Violencia	12	10.13
Violencia	25.1	1.59
Violencia	17.3	4.8
Otros	47	4.63
Otros	22	3.94
Otros	38	1.44
Otros	30.3	6.96
Otros	34.2	7.24
Otros	22.7	3.16
Otros	31.1	4.66
Otros	14.6	1.89
Otros	38.7	6.45
Otros	30.8	4.88
Otros	36	4.61
Otros	27.1	4.87
Otros	28.9	8.95
Otros	33.7	9.64
Otros	36.4	2.87
Otros	33.8	3.85
Otros	42.1	3.72
Otros	27	5.31
Otros	34.6	5.7
Otros	34.7	7.27
Otros	39.1	6.57
Otros	40.5	4.78
Otros	53.5	3.59
Otros	27.7	2.59
Otros	36.6	7.94
Otros	42.7	6.69
Otros	31.4	1.05
Otros	43.3	5.42
Otros	53.7	8.87
Otros	27	1.98
Otros	28	6.78
Otros	40.6	5.95
Otros	34.5	2.34
Otros	49.7	1.66
Otros	25.7	14.33
Otros	22.9	4.58
Otros	21.3	0.58
Otros	13.5	8.29
Otros	12.5	6.62
Otros	22.7	1.94
Otros	48	1.81
Otros	21.4	1.32
Otros	35.2	11.67
Otros	3.3	5.94
Otros	44.6	2.64
Otros	3.1	4.19
Otros	25.6	2.31
Otros	34.7	2.63
Otros	39.6	3.84
Otros	38.9	4.7
Otros	25.4	4.29
Otros	33.3	1.09
Otros	33.8	3.05
Otros	46.7	0.85
Otros	30.6	1.36
Otros	38.1	2.85
Otros	33.9	2.5
Otros	37	1.95
Otros	39.6	0.44
Otros	20	3.23
Otros	32	1.94
Otros	17.2	5.11
Otros	40.1	3.24
Otros	32.4	1.58
Otros	26.3	2.35
Otros	28.3	0.67
Otros	11.9	3.78
Otros	40.9	0.94
Otros	45.4	0.58
Otros	33.6	2.22
Otros	27.5	2.96
Otros	26	9.29
Otros	12.8	3.7
Otros	36.8	0.28
Otros	23.2	3.35
Otros	29.1	3.11
Otros	45.3	4.49
Otros	60.1	6.13
Otros	29.1	7.95
Otros	54.9	3.06
Otros	55.7	5.56
Otros	46.3	8.06
Otros	28.3	5.94
Otros	52.9	3.28
Otros	34.2	5.64
Otros	47.3	5.4
Otros	57.1	7.95
Otros	6	9.26
Otros	17.9	5.34
Otros	9.8	1.8
Otros	8	11.65
Otros	43.3	5.84
Otros	11.5	7.84
Otros	27.7	4.99
Otros	38.1	11.65
Otros	19	1.69
Otros	9.9	1.65
Otros	95.8	4.71
Otros	28	5.81
Otros	29.3	4.23
Otros	29.5	2.63
Otros	52.9	2.39
Otros	15.9	6.69
Otros	44.4	1.75
Otros	19.8	0.4
Otros	53.8	1.55
Otros	53.8	0.96
Otros	36.6	0.58
Otros	9.1	12.95
Otros	56.5	1.44
Otros	18	6.02
Otros	19.4	1.18
Otros	41.2	0.8
Otros	42.2	1.21
Otros	10.7	0.9
Otros	22.8	1.87
Otros	8.2	2.99
Otros	9.8	0.9
Otros	36.6	3.48
Otros	32.6	0.7
Otros	34.2	3.94
Otros	45.9	1.96
Otros	37.6	2.75
Otros	55.9	0.53
Otros	46.9	0.4
Otros	34.2	4.58
Otros	46.1	0.39
Otros	33.8	2.7
Otros	32.4	0.7
Otros	7.6	13.89
Otros	38.6	1.55
Otros	15.3	0.71
Otros	15	9.48
Otros	28.9	11.58
Otros	3.9	0.79
Otros	25.9	0.85
Otros	7.3	0.7
Otros	11.6	2.61
Otros	33.9	1.27
Otros	45.1	2.61
Otros	44.8	0.85
Otros	18.7	1.03
Otros	31.9	9.22
Otros	16.6	0.56
Otros	29.7	2.61
Otros	26.6	2.59
Otros	24.6	3.74
Otros	2.1	4.11
Otros	8.4	3.4
Otros	43.1	1.31
Otros	38.2	2.12
Otros	34.1	0.45
Otros	19.4	1.53
Otros	31.3	0.45
Otros	47.9	0.34
Otros	43.4	4.35
Otros	20.8	5.54
Otros	32.9	3.35
Otros	44.5	2.02
Otros	32.5	3.26
Otros	31.3	13.16
Otros	28.9	2.75
Otros	47.6	1.9
Otros	24.8	4.11
Otros	34.6	10.69
Otros	34.9	0.44
Otros	44.1	1.83
Otros	15.9	1.94
Otros	13.2	0.68
Otros	36.3	2.48
Otros	32.1	2.29
Otros	6.7	1.75
Otros	27.4	8.26
Otros	11.7	8.66
Otros	18.3	0.93
Otros	33.5	1.8
Otros	33.1	6.1
Otros	36.5	4.71
Otros	39.6	3.88
Otros	36.1	5.19
Otros	37.2	2.33
Otros	17	4.35
Otros	21	7.53
Otros	37	1.38
Otros	33.7	0.94
Otros	20.7	1.67
Otros	20.6	5.8
Otros	11.7	7.39
Otros	20.1	8.39
Otros	29.7	3.6
Otros	21.5	5.56
Otros	34.3	2.29
Otros	50.8	4.82
Otros	55.2	3.26
Otros	46.1	6.05
Otros	46.2	5.04
Otros	39.1	5.77
Otros	44.7	4.23
Otros	38.4	5.75
Otros	36.5	6.35
Otros	36.3	2.42
Otros	62.9	4.23
Otros	37.9	3.87
Otros	55	2.78
Otros	51	7.53
Otros	32.8	4.91
Otros	38.2	6.25
Otros	30.3	6.44
Otros	38.7	7.12
Otros	45.8	3.31
Otros	27.7	2.92
Otros	45.2	7
Otros	28.5	3.55
Otros	17.7	5.15
Otros	17	5.39
Otros	34.7	2.11
Otros	40	2.63
Otros	23.1	6.06
Otros	58.4	3.53
Otros	27.9	5.56
Otros	47.7	1.53
Otros	52.5	3.8
Otros	40.3	2.53
Otros	51.7	4.24
Otros	36.4	9.4
Otros	22.9	5.16
Otros	42.7	6.98
Otros	16.5	5.56
Otros	51.4	4.17
Otros	40	4.41
Otros	70.1	3
Otros	27.1	2.7
Otros	23.7	3.23
Otros	31.8	8.11
Otros	56.2	0.81
Otros	17.8	4.55
Otros	40.3	6.13
Otros	17	2.54
Otros	14.7	10.1
Otros	38.3	3.88
Otros	24	3.13
Otros	56.2	2.83
Otros	28.7	5.22
Otros	45.3	5.16
Otros	34.3	3.12
Otros	21.8	3.9
Otros	64.5	1.62
Otros	46.2	1.96
Otros	32.9	8
Otros	54	2.5
Otros	37	3.57
Otros	46.3	1.71
Otros	23.4	0.71
Otros	22.6	3.16
Otros	38.2	5.36
Otros	36.6	4.28
Otros	41.5	2.66
Otros	44.3	4.29
Otros	73.3	2.95
Otros	48.6	5.84
Otros	31.7	2.13
Otros	40.9	6.06
Otros	52	0.61
Otros	35.6	2.27
Otros	38.5	1.64
Otros	40.2	5.26
Otros	44.1	1.04
Otros	52	3.69
Otros	97	1.29
Otros	28	2.19
Otros	34.1	6.02
Otros	29.9	6.48
Otros	54.6	12.75
Otros	66.8	2.74
Otros	29.8	2.53
Otros	71.9	2.55
Otros	34	4.26
Otros	20.5	4.29
Otros	37.6	2.99
Otros	37	3.81
Otros	33.3	2.08
Otros	18.1	8.7
Otros	29.2	5.26
Otros	48.1	1.43
Otros	45.5	6.05
Otros	31.8	4.89
Otros	45.7	6.19
Otros	33	8.78
Otros	50.7	7.64
Otros	53.3	1.98
Otros	21.6	2.56
Otros	49.3	4.03
Otros	43.5	3.93
Otros	48.4	4.2
Otros	39.6	4.55
Otros	31.9	13.72
Otros	52.5	8.14
Otros	40.5	1.35
Otros	31.3	7.45
Otros	31.4	0.8
Otros	40.7	5.58
Otros	16.9	2.13
Otros	36.2	0.53
Otros	45.6	2.58
Otros	31.6	8.84
Otros	23.6	1.76
Otros	38.6	2.85
Otros	21.5	0.35
Otros	33	2.26
Otros	27.2	4.99
Otros	51.7	4.15
Otros	30.8	4.85
Otros	24	0.95
Otros	47.8	2.31
Otros	30.9	3.59
Otros	23.5	7.32
Otros	22.2	0.37
Otros	38.4	4.69
Otros	46.2	3.36
Otros	38.1	4.88
Otros	38.1	6.54
Otros	35.5	2.53
Otros	14.3	8.91
Otros	34.7	6
Otros	17.2	5.47
Otros	34.5	2.23
Otros	48.1	1.47
Otros	36.3	3.62
Otros	31	5.8
Otros	34.4	4.68
Otros	31.1	1.53
Otros	37.8	2.16
Otros	39.1	4.48
Otros	46.5	2.52
Otros	49	5.76
Otros	39.3	4.92
Otros	32.9	3.61
Otros	46.9	5.18
Otros	28.3	3.53
Otros	36.6	5.13
Otros	51	8.09
Otros	48.9	4.21
Otros	42.5	7.65
Otros	48.7	4.44
Otros	40.8	1.33
Otros	22.2	12.22
Otros	40.7	5.99
Otros	37.3	2.02
Otros	41.6	3.15
Otros	19.2	9.83
Otros	59.7	6.51
Otros	43.2	8.96
Otros	18.6	8.78
Otros	25.9	3.96
Otros	38.3	5.14
Otros	42.5	3.49
Otros	23.8	9.9
Otros	35.3	4.34
Otros	26.8	1.56
Otros	26.9	6.17
Otros	37.1	3.73
Otros	25.9	3.3
Otros	25.2	5.62
Otros	46.5	3.85
Otros	42.6	4.01
Otros	17.4	7.92
Otros	43.5	4.37
Otros	23.5	6.15
Otros	25	5.21
Otros	41.8	4.93
Otros	19.1	1.61
Otros	55.6	3.24
Otros	44.8	2.79
Otros	37.2	5.23
Otros	41.2	4.42
Otros	44.2	4.91
Otros	45.2	2.42
Otros	38.4	9.01
Otros	25.7	4.84
Otros	22.4	3.45
Otros	50.8	3.8
Otros	32.6	6.33
Otros	44.9	3.12
Otros	59.8	5.08
Otros	44.7	3.79
Otros	37.6	3.14
Otros	47.1	1.27
Otros	42.4	3.3
Otros	55.3	2.44
Otros	27	1.85
Otros	45.8	2.44
Otros	35.1	4.59
Otros	42.8	1.98
Otros	31.1	7.72
Otros	55.5	3.56
Otros	28.8	6.57
Otros	33.2	2.4
Otros	29.3	2.22
Otros	41.5	5.44
Otros	50.1	4.7
Otros	37	4.6
Otros	37.4	6.42
Otros	33.5	4.05
Otros	44.2	2.87
Otros	44.8	3.65
Otros	38.1	4.99
Otros	27	8.02
Otros	23.1	6.06
Otros	18.7	5.43
Otros	27.9	1.02
Otros	24.7	2.56
Otros	31.2	3.08
Otros	49.6	3.45
Otros	43.4	4.88
Otros	29	5.63
Otros	40.4	9.32
Otros	58.7	7.72
Otros	32.1	4.57
Otros	26.2	6.49
Otros	44.9	3.49
Otros	26.8	3.68
Otros	11.5	10.26
Otros	82.8	8.28
Otros	30.5	2.5
Otros	21.6	2.86
Otros	26	2.46
Otros	43.4	4.82
Otros	59.7	7.87
Otros	48.5	3.29
Otros	30.1	6.14
Otros	22.4	7.18
Otros	25.5	3.64
Otros	18.7	9.81
Otros	9.9	8.44
Otros	32.5	5.8
Otros	57.3	0.35
Otros	19	4.34
Otros	21.6	5.38
Otros	23	4.33
Otros	33.7	9.32
Otros	38.9	0.97
Otros	53.8	2.63
Otros	35.1	9.04
Otros	8.2	11.76
Otros	3.5	3.7
Otros	5.1	1.52
Otros	15.7	5.88
Otros	7.9	3.77
Otros	14.6	8.44
Otros	5.3	8
Otros	25.2	3.63
Otros	16.8	5.88
Otros	11.5	4.66
Otros	4.9	1.67
Violencia	11.3	10.47
Violencia	8.7	3.33
Otros	32.8	4.44
Otros	18.5	1.9
Otros	5.2	6.25
Otros	57	2.89
Otros	38.3	3.42
Otros	43.2	1.94
Otros	35	3.1
Otros	25.9	3.48
Otros	31.9	1.3
Otros	25.9	2.34
Otros	26	2.9
Otros	22	4.43
Otros	34.6	2.48
Otros	21	0.83
Otros	22.6	4.48
Otros	23.8	2.14
Otros	86.2	1.18
Otros	33.9	1.98
Otros	37.6	3.55
Otros	31.3	4.08
Otros	39.9	2.7
Otros	28.8	1.63
Otros	27	2.53
Otros	27.2	4.74
Otros	14.6	4.14
Otros	28	3.45
Otros	16.9	7.63
Otros	18.7	2.06
Otros	50.2	4.55
Otros	18.4	3.2
Otros	31.5	0.5
Otros	24.3	4.98
Otros	47	1.08
Otros	26.1	6.37
Otros	25	4.49
Otros	61.3	1.38
Otros	42.7	7
Otros	21.8	0.92
Otros	55.1	2.48
Otros	19	3.96
Otros	34.5	6.07
Otros	30.2	1.95
Otros	28.1	5.98
Otros	45.2	1.79
Otros	51.1	1.91
Otros	38	1.1
Otros	40.8	3.66
Otros	52.3	4.64
Otros	45.1	2.01
Otros	31.4	1.96
Otros	39	5.42
Otros	27.2	5.08
Otros	41.6	1.29
Otros	78.8	2.04
Otros	33	2.38
Otros	44.2	2.79
Otros	27.5	5.15
Otros	37.2	13.73
Otros	55.7	1.2
Otros	52	2.09
Otros	56.8	6.35
Otros	52.9	2.03
Otros	32.1	0.48
Otros	48.4	2.15
Otros	54.7	2.05
Otros	35.7	0.65
Otros	3.9	4.76
Otros	15.9	2.97
Otros	18.7	5.41
Otros	16.6	12.46
Otros	51.5	1.98
Otros	16.5	4.07
Otros	31.8	3.8
Otros	36.7	2.52
Otros	27.2	4.32
Otros	24.7	2.6
Otros	27.4	1.26
Otros	70.9	3.75
Otros	54.2	3.43
Otros	33.7	3.15
Otros	69.7	2.32
Otros	21.7	3.7
Otros	39.5	1.59
Otros	34.4	6.17
Otros	46.8	2.54
Otros	22.1	2.25
Otros	40.8	6.08
Otros	49.8	1.12
Otros	34	3.82
Otros	40.3	2.4
Otros	43.4	4.77
Otros	62.2	2.65
Otros	41.6	1.89
Otros	45.1	1.92
Otros	45.1	1.87
Otros	59.3	3.08
Otros	26.3	11.53
Otros	37.1	3.58
Otros	40.6	2.58
